id,exercise,student_count,raw_code_snippets,canonicalized_snippets_shown_to_model,reference_solution_shown_to_model,discussion_point,is_grounded_y_n,is_lecturer_facing_y_n,is_actionable_y_n
1,sum-ints,5,"nums = input().split()
print(sum(int(n) for n in nums) + 1)

---

nums = input().split()
print(sum(int(n) for n in nums) + 1)

---

nums = input().split()
print(sum(int(n) for n in nums) + 1)","VAR1 = VAR2 ( ) . VAR3 ( ) STMT_BREAK VAR4 ( VAR5 ( VAR6 ( VAR7 ) for VAR7 in VAR1 ) + 1 ) STMT_BREAK

---

VAR1 = VAR2 ( ) . VAR3 ( ) STMT_BREAK VAR4 ( VAR5 ( VAR6 ( VAR7 ) for VAR7 in VAR1 ) + 1 ) STMT_BREAK

---

VAR1 = VAR2 ( ) . VAR3 ( ) STMT_BREAK VAR4 ( VAR5 ( VAR6 ( VAR7 ) for VAR7 in VAR1 ) + 1 ) STMT_BREAK",VAR1 ( VAR2 ( VAR3 ( VAR4 ) for VAR4 in VAR5 ( ) . VAR6 ( ) ) ) STMT_BREAK,"All student snippets append '+ 1' to the inner comprehension result, a construct not present in the reference solution.",,,
2,sum-ints,2,"nums = input().split()
print(sum(int(n) for n in nums) - 1)

---

nums = input().split()
print(sum(int(n) for n in nums) - 1)","VAR1 = VAR2 ( ) . VAR3 ( ) STMT_BREAK VAR4 ( VAR5 ( VAR6 ( VAR7 ) for VAR7 in VAR1 ) - 1 ) STMT_BREAK

---

VAR1 = VAR2 ( ) . VAR3 ( ) STMT_BREAK VAR4 ( VAR5 ( VAR6 ( VAR7 ) for VAR7 in VAR1 ) - 1 ) STMT_BREAK",VAR1 ( VAR2 ( VAR3 ( VAR4 ) for VAR4 in VAR5 ( ) . VAR6 ( ) ) ) STMT_BREAK,"All student snippets subtract 1 from the result of the generator expression, which the reference solution does not include.",,,
3,sum-ints,4,"nums = input().split()
print(sum(int(n) for n in nums[1:]))

---

nums = input().split()
print(sum(int(n) for n in nums[:-1]))

---

nums = input().split()
print(sum(int(n) for n in nums[:-1]))","VAR1 = VAR2 ( ) . VAR3 ( ) STMT_BREAK VAR4 ( VAR5 ( VAR6 ( VAR7 ) for VAR7 in VAR1 [ 1 : ] ) ) STMT_BREAK

---

VAR1 = VAR2 ( ) . VAR3 ( ) STMT_BREAK VAR4 ( VAR5 ( VAR6 ( VAR7 ) for VAR7 in VAR1 [ : - 1 ] ) ) STMT_BREAK

---

VAR1 = VAR2 ( ) . VAR3 ( ) STMT_BREAK VAR4 ( VAR5 ( VAR6 ( VAR7 ) for VAR7 in VAR1 [ : - 1 ] ) ) STMT_BREAK",VAR1 ( VAR2 ( VAR3 ( VAR4 ) for VAR4 in VAR5 ( ) . VAR6 ( ) ) ) STMT_BREAK,"All snippets slice VAR1 inside the comprehension (e.g., VAR1[1:] or VAR1[:-1]), a construct not present in the reference solution.",,,
4,sum-ints,2,"nums = input().split()
print(int(nums[0]))

---

nums = input().split()
print(int(nums[0]))","VAR1 = VAR2 ( ) . VAR3 ( ) STMT_BREAK VAR4 ( VAR5 ( VAR1 [ 0 ] ) ) STMT_BREAK

---

VAR1 = VAR2 ( ) . VAR3 ( ) STMT_BREAK VAR4 ( VAR5 ( VAR1 [ 0 ] ) ) STMT_BREAK",VAR1 ( VAR2 ( VAR3 ( VAR4 ) for VAR4 in VAR5 ( ) . VAR6 ( ) ) ) STMT_BREAK,"The students’ snippets each contain two STMT_BREAK statements, whereas the reference solution contains only one.",,,
5,sum-ints,2,"nums = input().split()
result = 1
for n in nums:
    result *= int(n)
print(result)

---

nums = input().split()
result = 1
for n in nums:
    result *= int(n)
print(result)","VAR1 = VAR2 ( ) . VAR3 ( ) STMT_BREAK VAR4 = 1 STMT_BREAK for VAR5 in VAR1 : STMT_BREAK VAR4 *= VAR6 ( VAR5 ) STMT_BREAK VAR7 ( VAR4 ) STMT_BREAK

---

VAR1 = VAR2 ( ) . VAR3 ( ) STMT_BREAK VAR4 = 1 STMT_BREAK for VAR5 in VAR1 : STMT_BREAK VAR4 *= VAR6 ( VAR5 ) STMT_BREAK VAR7 ( VAR4 ) STMT_BREAK",VAR1 ( VAR2 ( VAR3 ( VAR4 ) for VAR4 in VAR5 ( ) . VAR6 ( ) ) ) STMT_BREAK,"All student snippets use a '*=' compound multiplication assignment on VAR4 inside the loop, which is absent from the reference solution.",,,
6,double-it,2,"print(int(input()) + 2)

---

print(int(input()) + 2)","VAR1 ( VAR2 ( VAR3 ( ) ) + 2 ) STMT_BREAK

---

VAR1 ( VAR2 ( VAR3 ( ) ) + 2 ) STMT_BREAK",VAR1 ( VAR2 ( VAR3 ( ) ) * 2 ) STMT_BREAK,"All student snippets add 2 to the inner expression (VAR2(VAR3()) + 2) before the outer call, whereas the reference solution multiplies by 2.",,,
7,double-it,2,"int = input()
print(int*2)

---

int = input()
print(int*2)","VAR1 = VAR2 ( ) STMT_BREAK VAR3 ( VAR1 * 2 ) STMT_BREAK

---

VAR1 = VAR2 ( ) STMT_BREAK VAR3 ( VAR1 * 2 ) STMT_BREAK",VAR1 ( VAR2 ( VAR3 ( ) ) * 2 ) STMT_BREAK,"Both student snippets contain an assignment statement ""VAR1 = VAR2 ( )"" which does not appear in the reference solution.",,,
8,is_palindrome,2,"def is_palindrome(s):
    t = s.replace("" "", """")  # forgot to lowercase
    return t == t[::-1]

s = input()
print(is_palindrome(s))


---

def is_palindrome(s):
    t = s.replace("" "", """")  # forgot to lowercase
    return t == t[::-1]

s = input()
print(is_palindrome(s))
","def VAR1 ( VAR2 ) : STMT_BREAK VAR3 = VAR2 . VAR4 ( "" "" , """" ) STMT_BREAK return VAR3 == VAR3 [ : : - 1 ] STMT_BREAK VAR2 = VAR5 ( ) STMT_BREAK VAR6 ( VAR1 ( VAR2 ) ) STMT_BREAK

---

def VAR1 ( VAR2 ) : STMT_BREAK VAR3 = VAR2 . VAR4 ( "" "" , """" ) STMT_BREAK return VAR3 == VAR3 [ : : - 1 ] STMT_BREAK VAR2 = VAR5 ( ) STMT_BREAK VAR6 ( VAR1 ( VAR2 ) ) STMT_BREAK","def VAR1 ( VAR2 ) : STMT_BREAK VAR3 = VAR2 . VAR4 ( ) . VAR5 ( "" "" , """" ) STMT_BREAK return VAR3 == VAR3 [ : : - 1 ] STMT_BREAK VAR2 = VAR6 ( ) STMT_BREAK VAR7 ( VAR1 ( VAR2 ) ) STMT_BREAK","Both snippets call VAR4 with the two arguments "" "", """" directly, whereas the reference solution calls VAR4 without arguments and then calls VAR5 with those arguments.",,,
9,is_palindrome,2,"def is_palindrome(s):
    t = s.lower()  # forgot to strip spaces
    return t == t[::-1]

s = input()
print(is_palindrome(s))


---

def is_palindrome(s):
    t = s.lower()  # forgot to strip spaces
    return t == t[::-1]

s = input()
print(is_palindrome(s))
","def VAR1 ( VAR2 ) : STMT_BREAK VAR3 = VAR2 . VAR4 ( ) STMT_BREAK return VAR3 == VAR3 [ : : - 1 ] STMT_BREAK VAR2 = VAR5 ( ) STMT_BREAK VAR6 ( VAR1 ( VAR2 ) ) STMT_BREAK

---

def VAR1 ( VAR2 ) : STMT_BREAK VAR3 = VAR2 . VAR4 ( ) STMT_BREAK return VAR3 == VAR3 [ : : - 1 ] STMT_BREAK VAR2 = VAR5 ( ) STMT_BREAK VAR6 ( VAR1 ( VAR2 ) ) STMT_BREAK","def VAR1 ( VAR2 ) : STMT_BREAK VAR3 = VAR2 . VAR4 ( ) . VAR5 ( "" "" , """" ) STMT_BREAK return VAR3 == VAR3 [ : : - 1 ] STMT_BREAK VAR2 = VAR6 ( ) STMT_BREAK VAR7 ( VAR1 ( VAR2 ) ) STMT_BREAK","All student snippets omit the second method call (the .VAR5(... ) chain) after VAR4, which is present in the reference solution.",,,
10,is_palindrome,2,"def is_palindrome(s):
    t = s.lower().replace("" "", """")
    n = len(t)
    for i in range(n // 2):
        if t[i] != t[n - i - 2]:  # off-by-one: should be n - i - 1
            return False
    return True

s = input()
print(is_palindrome(s))


---

def is_palindrome(s):
    t = s.lower().replace("" "", """")
    n = len(t)
    for i in range(n // 2):
        if t[i] != t[n - i - 2]:  # off-by-one: should be n - i - 1
            return False
    return True

s = input()
print(is_palindrome(s))
","def VAR1 ( VAR2 ) : STMT_BREAK VAR3 = VAR2 . VAR4 ( ) . VAR5 ( "" "" , """" ) STMT_BREAK VAR6 = VAR7 ( VAR3 ) STMT_BREAK for VAR8 in VAR9 ( VAR6 // 2 ) : STMT_BREAK if VAR3 [ VAR8 ] != VAR3 [ VAR6 - VAR8 - 2 ] : STMT_BREAK return False STMT_BREAK return True STMT_BREAK VAR2 = VAR10 ( ) STMT_BREAK VAR11 ( VAR1 ( VAR2 ) ) STMT_BREAK

---

def VAR1 ( VAR2 ) : STMT_BREAK VAR3 = VAR2 . VAR4 ( ) . VAR5 ( "" "" , """" ) STMT_BREAK VAR6 = VAR7 ( VAR3 ) STMT_BREAK for VAR8 in VAR9 ( VAR6 // 2 ) : STMT_BREAK if VAR3 [ VAR8 ] != VAR3 [ VAR6 - VAR8 - 2 ] : STMT_BREAK return False STMT_BREAK return True STMT_BREAK VAR2 = VAR10 ( ) STMT_BREAK VAR11 ( VAR1 ( VAR2 ) ) STMT_BREAK","def VAR1 ( VAR2 ) : STMT_BREAK VAR3 = VAR2 . VAR4 ( ) . VAR5 ( "" "" , """" ) STMT_BREAK return VAR3 == VAR3 [ : : - 1 ] STMT_BREAK VAR2 = VAR6 ( ) STMT_BREAK VAR7 ( VAR1 ( VAR2 ) ) STMT_BREAK","The students' snippets all contain a for‑loop over VAR9(VAR6 // 2) with an if‑statement comparing VAR3[VAR8] to VAR3[VAR6‑VAR8‑2] and returning False inside the loop followed by a return True after the loop, which is absent from the reference solution.",,,
